Application_ID,Application_Date,Month,Product_Type,Branch_Tier,State,Status,Loan_Amount,Customer_Segment,TAT_Application_Submission_hrs,SLA_Breach_Application_Submission,TAT_Document_Verification_hrs,SLA_Breach_Document_Verification,TAT_Credit_Assessment_hrs,SLA_Breach_Credit_Assessment,TAT_Approval_Rejection_hrs,SLA_Breach_Approval_Rejection,TAT_Loan_Disbursal_hrs,SLA_Breach_Loan_Disbursal,Total_TAT_hrs,Total_TAT_days,SLA_Breached
AU2024058,2024-03-12,2024-03,Personal Loan,Urban,Uttar Pradesh,Disbursed,80000.0,Salaried,5.6,0,15.6,0,28.0,0,5.4,0,8.3,0,62.9,2.6,0
AU2024059,2025-01-16,2025-01,Personal Loan,Urban,Madhya Pradesh,Disbursed,459000.0,Salaried,2.4,0,9.9,0,23.1,0,5.7,0,10.4,0,51.5,2.1,0
AU2024060,2024-10-02,2024-10,Vehicle Finance,Semi-Urban,Karnataka,Disbursed,473000.0,Salaried,9.2,1,34.1,1,19.8,0,11.3,0,24.5,1,98.9,4.1,1
AU2024061,2025-01-17,2025-01,Home Loan,Urban,Uttar Pradesh,Disbursed,1010000.0,Self-Employed,3.9,0,26.1,1,20.9,0,7.7,0,15.0,0,73.6,3.1,1
AU2024062,2024-08-07,2024-08,Personal Loan,Urban,Odisha,Rejected,277000.0,Self-Employed,2.4,0,15.2,0,24.8,0,5.9,0,0.0,0,48.3,2.0,0
AU2024063,2024-07-23,2024-07,Business Loan,Urban,Odisha,Disbursed,779000.0,Salaried,3.3,0,9.9,0,52.5,1,8.7,0,14.1,0,88.5,3.7,1
AU2024064,2024-04-22,2024-04,Home Loan,Semi-Urban,Punjab,Disbursed,3656000.0,MSME Owner,6.6,0,20.0,0,26.5,0,12.4,0,21.6,0,87.1,3.6,0
AU2024065,2024-09-17,2024-09,Vehicle Finance,Urban,Maharashtra,Pending Documents,819000.0,Self-Employed,2.9,0,9.6,0,15.7,0,6.0,0,7.9,0,42.1,1.8,0
AU2024066,2024-02-16,2024-02,Personal Loan,Urban,Tamil Nadu,Disbursed,50000.0,Farmer,2.4,0,14.4,0,35.3,0,10.9,0,15.8,0,78.8,3.3,0
AU2024067,2025-03-16,2025-03,Business Loan,Urban,Rajasthan,Rejected,570000.0,Farmer,4.2,0,17.1,0,27.5,0,10.2,0,0.0,0,59.0,2.5,0
AU2024068,2024-03-19,2024-03,Business Loan,Semi-Urban,Gujarat,Disbursed,162000.0,Self-Employed,5.7,0,25.9,1,32.9,0,13.8,0,19.6,0,97.9,4.1,1
AU2024069,2025-02-09,2025-02,Personal Loan,Urban,Maharashtra,Disbursed,191000.0,Salaried,6.0,0,13.2,0,31.4,0,6.0,0,14.2,0,70.8,2.9,0
AU2024070,2024-11-01,2024-11,Home Loan,Semi-Urban,Haryana,Disbursed,50000.0,Farmer,9.0,1,52.6,1,21.7,0,16.8,1,26.9,1,127.0,5.3,1
AU2024071,2024-07-16,2024-07,Personal Loan,Urban,Gujarat,Rejected,86000.0,Self-Employed,5.4,0,10.2,0,31.1,0,5.6,0,0.0,0,52.3,2.2,0
AU2024072,2024-11-01,2024-11,Personal Loan,Rural,Haryana,Rejected,50000.0,Farmer,11.9,1,53.4,1,45.1,0,18.8,1,0.0,0,129.2,5.4,1
AU2024073,2024-09-27,2024-09,Business Loan,Semi-Urban,Tamil Nadu,Disbursed,399000.0,Salaried,9.4,1,21.2,0,52.7,1,18.9,1,21.2,0,123.4,5.1,1
AU2024074,2025-05-12,2025-05,Personal Loan,Rural,Uttar Pradesh,Disbursed,103000.0,MSME Owner,14.2,1,43.2,1,66.9,1,26.2,1,22.6,0,173.1,7.2,1
AU2024075,2025-03-16,2025-03,Business Loan,Urban,Karnataka,Rejected,173000.0,Salaried,4.3,0,20.2,0,51.9,1,6.7,0,0.0,0,83.1,3.5,1
AU2024076,2024-12-14,2024-12,Personal Loan,Rural,Rajasthan,Disbursed,1105000.0,Salaried,10.3,1,50.0,1,58.6,1,23.5,1,38.8,1,181.2,7.5,1
AU2024077,2024-12-15,2024-12,Vehicle Finance,Urban,Gujarat,Disbursed,165000.0,Salaried,5.6,0,17.3,0,21.6,0,7.7,0,17.4,0,69.6,2.9,0
AU2024078,2025-01-19,2025-01,Personal Loan,Semi-Urban,Karnataka,Disbursed,215000.0,Farmer,9.6,1,25.6,1,38.9,0,19.1,1,22.7,0,115.9,4.8,1
AU2024079,2025-01-28,2025-01,Personal Loan,Semi-Urban,Uttar Pradesh,Disbursed,283000.0,Self-Employed,8.4,1,34.4,1,45.8,0,13.4,0,12.0,0,114.0,4.8,1
AU2024080,2024-02-27,2024-02,MSME Loan,Rural,Punjab,Disbursed,4380000.0,Self-Employed,8.5,1,36.1,1,98.8,1,12.1,0,28.0,1,183.5,7.6,1
AU2024081,2024-08-10,2024-08,Business Loan,Semi-Urban,Uttar Pradesh,Under Review,478000.0,Salaried,6.1,0,29.7,1,48.1,1,0.0,0,0.0,0,83.9,3.5,1
AU2024082,2024-08-20,2024-08,Personal Loan,Urban,Maharashtra,Disbursed,650000.0,Self-Employed,4.3,0,18.1,0,12.3,0,9.3,0,8.1,0,52.1,2.2,0
AU2024083,2025-05-03,2025-05,MSME Loan,Urban,Rajasthan,Disbursed,226000.0,Salaried,6.0,0,16.0,0,40.4,0,4.5,0,15.0,0,81.9,3.4,0
AU2024084,2025-05-12,2025-05,Personal Loan,Rural,Uttar Pradesh,Disbursed,4533000.0,Salaried,15.8,1,40.3,1,49.2,1,19.9,1,30.0,1,155.2,6.5,1
AU2024085,2025-01-25,2025-01,Vehicle Finance,Urban,Karnataka,Disbursed,79000.0,Farmer,5.8,0,14.0,0,18.5,0,9.2,0,10.9,0,58.4,2.4,0
AU2024086,2024-09-16,2024-09,Personal Loan,Urban,Maharashtra,Rejected,243000.0,Salaried,2.9,0,18.8,0,12.5,0,4.8,0,0.0,0,39.0,1.6,0
AU2024087,2025-03-21,2025-03,Personal Loan,Semi-Urban,Gujarat,Disbursed,277000.0,Salaried,5.5,0,29.3,1,43.7,0,18.0,1,17.1,0,113.6,4.7,1
AU2024088,2025-03-06,2025-03,Home Loan,Urban,Uttar Pradesh,Disbursed,50000.0,Farmer,5.3,0,18.9,0,18.2,0,7.0,0,13.1,0,62.5,2.6,0
AU2024089,2024-11-07,2024-11,Business Loan,Semi-Urban,Karnataka,Disbursed,1869000.0,Self-Employed,6.6,0,19.1,0,73.4,1,17.2,1,12.5,0,128.8,5.4,1
AU2024090,2024-03-19,2024-03,MSME Loan,Semi-Urban,Madhya Pradesh,Under Review,185000.0,Salaried,5.6,0,25.0,1,57.3,1,0.0,0,0.0,0,87.9,3.7,1
AU2024091,2025-01-25,2025-01,MSME Loan,Rural,Punjab,Disbursed,1180000.0,Salaried,10.7,1,24.7,1,108.0,1,14.1,0,35.3,1,192.8,8.0,1
AU2024092,2024-10-03,2024-10,Business Loan,Semi-Urban,Maharashtra,Rejected,160000.0,Salaried,4.8,0,33.6,1,69.6,1,15.2,0,0.0,0,123.2,5.1,1
AU2024093,2025-04-15,2025-04,Home Loan,Urban,Karnataka,Under Review,479000.0,Self-Employed,3.5,0,23.5,0,13.1,0,0.0,0,0.0,0,40.1,1.7,0
AU2024094,2024-11-02,2024-11,Personal Loan,Semi-Urban,Rajasthan,Disbursed,50000.0,Self-Employed,8.3,1,19.1,0,35.0,0,13.7,0,21.9,0,98.0,4.1,1
AU2024095,2024-09-07,2024-09,MSME Loan,Semi-Urban,Punjab,Disbursed,111000.0,Salaried,5.6,0,26.3,1,27.6,0,14.0,0,20.7,0,94.2,3.9,1
AU2024096,2024-02-27,2024-02,Business Loan,Rural,Rajasthan,Disbursed,327000.0,Self-Employed,14.9,1,39.7,1,53.2,1,26.7,1,42.0,1,176.5,7.4,1
AU2024097,2025-03-25,2025-03,Home Loan,Urban,Punjab,Disbursed,186000.0,Self-Employed,2.4,0,33.9,1,15.3,0,11.6,0,11.4,0,74.6,3.1,1
AU2024098,2024-05-02,2024-05,Personal Loan,Semi-Urban,Uttar Pradesh,Under Review,659000.0,MSME Owner,8.2,1,32.4,1,25.5,0,0.0,0,0.0,0,66.1,2.8,1
AU2024099,2024-05-03,2024-05,MSME Loan,Rural,Rajasthan,Disbursed,530000.0,MSME Owner,17.3,1,30.5,1,79.6,1,28.5,1,19.0,0,174.9,7.3,1
AU2024100,2025-04-29,2025-04,Home Loan,Urban,Odisha,Pending Documents,929000.0,MSME Owner,3.3,0,31.6,1,12.9,0,8.8,0,8.8,0,65.4,2.7,1
AU2024101,2024-02-13,2024-02,Personal Loan,Urban,Gujarat,Rejected,246000.0,Salaried,4.9,0,9.0,0,19.6,0,8.3,0,0.0,0,41.8,1.7,0
AU2024102,2025-02-21,2025-02,Business Loan,Semi-Urban,Tamil Nadu,Under Review,61000.0,Salaried,9.2,1,12.5,0,69.6,1,0.0,0,0.0,0,91.3,3.8,1
AU2024103,2025-05-15,2025-05,Home Loan,Rural,Gujarat,Disbursed,511000.0,MSME Owner,12.0,1,59.3,1,54.1,1,27.7,1,47.5,1,200.6,8.4,1
AU2024104,2025-01-27,2025-01,Home Loan,Semi-Urban,Karnataka,Disbursed,103000.0,Salaried,6.1,0,26.2,1,26.9,0,10.8,0,10.8,0,80.8,3.4,1
AU2024105,2024-03-06,2024-03,Personal Loan,Rural,Maharashtra,Disbursed,642000.0,Self-Employed,14.8,1,31.9,1,69.6,1,26.2,1,20.7,0,163.2,6.8,1
AU2024106,2025-04-29,2025-04,Business Loan,Rural,Tamil Nadu,Pending Documents,3405000.0,Salaried,17.9,1,32.3,1,110.3,1,23.7,1,36.2,1,220.4,9.2,1
AU2024107,2024-03-25,2024-03,Vehicle Finance,Urban,Karnataka,Disbursed,129000.0,Salaried,2.7,0,20.5,0,20.4,0,4.5,0,17.6,0,65.7,2.7,0
AU2024108,2024-09-27,2024-09,MSME Loan,Rural,Uttar Pradesh,Pending Documents,178000.0,MSME Owner,15.0,1,29.5,1,99.9,1,16.0,0,24.7,1,185.1,7.7,1
AU2024109,2024-08-04,2024-08,Vehicle Finance,Semi-Urban,Odisha,Disbursed,74000.0,Salaried,9.3,1,18.4,0,21.9,0,18.7,1,27.2,1,95.5,4.0,1
AU2024110,2025-04-20,2025-04,MSME Loan,Rural,Madhya Pradesh,Rejected,105000.0,Self-Employed,11.7,1,33.4,1,92.3,1,20.9,1,0.0,0,158.3,6.6,1
AU2024111,2025-01-21,2025-01,Personal Loan,Semi-Urban,Karnataka,Disbursed,301000.0,Farmer,7.0,0,23.5,0,35.8,0,17.9,1,16.3,0,100.5,4.2,1
AU2024112,2024-12-31,2024-12,Home Loan,Semi-Urban,Madhya Pradesh,Disbursed,349000.0,MSME Owner,9.1,1,48.8,1,39.3,0,18.0,1,22.6,0,137.8,5.7,1
AU2024113,2024-07-23,2024-07,Home Loan,Semi-Urban,Uttar Pradesh,Rejected,376000.0,Salaried,9.3,1,49.0,1,18.9,0,17.9,1,0.0,0,95.1,4.0,1
AU2024114,2024-08-12,2024-08,Business Loan,Semi-Urban,Punjab,Disbursed,425000.0,Self-Employed,4.0,0,18.9,0,56.5,1,19.8,1,21.4,0,120.6,5.0,1
AU2024115,2024-08-19,2024-08,Business Loan,Semi-Urban,Karnataka,Disbursed,417000.0,MSME Owner,4.6,0,30.3,1,52.6,1,19.6,1,16.2,0,123.3,5.1,1
AU2024116,2024-05-06,2024-05,Vehicle Finance,Rural,Gujarat,Disbursed,325000.0,Salaried,11.0,1,49.5,1,27.2,0,22.5,1,28.4,1,138.6,5.8,1
AU2024117,2024-02-02,2024-02,Vehicle Finance,Urban,Madhya Pradesh,Under Review,421000.0,Farmer,5.9,0,20.0,0,15.1,0,0.0,0,0.0,0,41.0,1.7,0
AU2024118,2024-01-11,2024-01,Personal Loan,Urban,Punjab,Disbursed,600000.0,Self-Employed,3.1,0,24.0,0,22.2,0,7.6,0,8.0,0,64.9,2.7,0
AU2024119,2024-10-10,2024-10,Home Loan,Semi-Urban,Odisha,Disbursed,880000.0,Salaried,8.1,1,40.5,1,26.2,0,19.4,1,12.7,0,106.9,4.5,1
AU2024120,2024-10-28,2024-10,Business Loan,Rural,Madhya Pradesh,Disbursed,70000.0,Salaried,17.8,1,38.7,1,106.3,1,16.1,1,24.4,1,203.3,8.5,1
AU2024121,2024-01-04,2024-01,Personal Loan,Semi-Urban,Madhya Pradesh,Disbursed,1666000.0,Farmer,6.8,0,35.2,1,23.6,0,18.4,1,24.0,0,108.0,4.5,1
AU2024122,2024-12-28,2024-12,Home Loan,Rural,Gujarat,Rejected,95000.0,Salaried,17.2,1,67.4,1,62.2,1,20.7,1,0.0,0,167.5,7.0,1
AU2024123,2024-04-27,2024-04,Personal Loan,Semi-Urban,Rajasthan,Disbursed,383000.0,Salaried,6.9,0,13.5,0,35.5,0,11.2,0,24.4,1,91.5,3.8,1
AU2024124,2025-04-08,2025-04,Business Loan,Semi-Urban,Gujarat,Disbursed,222000.0,Self-Employed,7.6,0,19.0,0,60.4,1,18.3,1,24.0,0,129.3,5.4,1
AU2024125,2025-03-16,2025-03,Personal Loan,Semi-Urban,Rajasthan,Disbursed,126000.0,Salaried,9.9,1,15.4,0,33.0,0,15.4,0,22.6,0,96.3,4.0,1
AU2024126,2024-02-06,2024-02,Vehicle Finance,Urban,Punjab,Disbursed,102000.0,Self-Employed,2.1,0,9.3,0,21.5,0,5.1,0,12.8,0,50.8,2.1,0
AU2024127,2024-05-01,2024-05,Home Loan,Rural,Karnataka,Disbursed,280000.0,Salaried,9.0,1,68.5,1,57.9,1,12.6,0,46.1,1,194.1,8.1,1
AU2024128,2024-12-08,2024-12,Personal Loan,Semi-Urban,Uttar Pradesh,Rejected,414000.0,MSME Owner,6.0,0,31.6,1,20.4,0,18.7,1,0.0,0,76.7,3.2,1
AU2024129,2024-04-19,2024-04,MSME Loan,Semi-Urban,Tamil Nadu,Disbursed,568000.0,Self-Employed,8.4,1,14.0,0,28.1,0,11.0,0,12.9,0,74.4,3.1,1
AU2024130,2024-03-08,2024-03,MSME Loan,Urban,Karnataka,Pending Documents,86000.0,MSME Owner,4.6,0,16.0,0,38.8,0,9.8,0,8.7,0,77.9,3.2,0
AU2024131,2024-10-22,2024-10,MSME Loan,Rural,Odisha,Rejected,150000.0,Salaried,14.8,1,26.6,1,35.5,0,16.6,1,0.0,0,93.5,3.9,1
AU2024132,2024-05-04,2024-05,MSME Loan,Semi-Urban,Tamil Nadu,Rejected,50000.0,Self-Employed,9.9,1,13.0,0,69.2,1,14.9,0,0.0,0,107.0,4.5,1
AU2024133,2025-02-17,2025-02,Home Loan,Semi-Urban,Tamil Nadu,Under Review,100000.0,Farmer,6.5,0,25.8,1,35.8,0,0.0,0,0.0,0,68.1,2.8,1
AU2024134,2024-04-07,2024-04,Vehicle Finance,Semi-Urban,Haryana,Rejected,417000.0,Farmer,5.1,0,17.7,0,47.1,0,10.2,0,0.0,0,80.1,3.3,0
AU2024135,2024-02-19,2024-02,Vehicle Finance,Urban,Gujarat,Under Review,126000.0,Self-Employed,4.1,0,13.7,0,26.2,0,0.0,0,0.0,0,44.0,1.8,0
AU2024136,2024-06-30,2024-06,MSME Loan,Urban,Haryana,Rejected,908000.0,Salaried,5.9,0,15.3,0,25.7,0,4.6,0,0.0,0,51.5,2.1,0
AU2024137,2024-07-29,2024-07,Vehicle Finance,Urban,Haryana,Under Review,123000.0,Self-Employed,3.0,0,17.9,0,29.0,0,0.0,0,0.0,0,49.9,2.1,0
AU2024138,2025-03-18,2025-03,Personal Loan,Semi-Urban,Tamil Nadu,Rejected,1021000.0,MSME Owner,7.5,0,32.8,1,24.2,0,9.3,0,0.0,0,73.8,3.1,1
AU2024139,2024-12-10,2024-12,Personal Loan,Semi-Urban,Rajasthan,Pending Documents,243000.0,Salaried,4.7,0,22.9,0,46.0,0,11.8,0,19.1,0,104.5,4.4,0
AU2024140,2024-02-01,2024-02,Personal Loan,Urban,Gujarat,Pending Documents,313000.0,Farmer,3.8,0,16.2,0,23.7,0,9.3,0,7.7,0,60.7,2.5,0
AU2024141,2025-01-07,2025-01,Personal Loan,Urban,Haryana,Rejected,441000.0,Salaried,4.7,0,23.5,0,14.3,0,9.4,0,0.0,0,51.9,2.2,0
AU2024142,2025-02-13,2025-02,MSME Loan,Urban,Punjab,Rejected,259000.0,Self-Employed,5.5,0,17.1,0,17.2,0,11.4,0,0.0,0,51.2,2.1,0
